Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,11,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,12,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,16,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,0,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,0,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,0,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,17,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,13,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,0,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,17,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,65,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Nth Melb Town Hall,Paper cardboard recycled,Waste,57,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,3,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,3,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,3,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,2,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Arts Centre - Signal Box,Paper cardboard recycled,Waste,0,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Paper cardboard recycled,Waste,0,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,64.8,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,0,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,4,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,4,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,4,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,0,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,10,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,12,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,10,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,20,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,19,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,19,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,18,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Central Carlton,Paper cardboard recycled,Waste,19,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,30,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,28,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,97,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,116,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,88,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,80,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,80,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,68,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,71,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,80,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,75,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Hotham Hub,Paper cardboard recycled,Waste,80,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,62,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,69,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,120,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,5,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,5,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Kensington,Paper cardboard recycled,Waste,4,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,7,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,6,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,6,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,7,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,6,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,6,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,15,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,4,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,4,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,4.5,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,4,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Lady Huntingfield,Paper cardboard recycled,Waste,4,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,4,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,3,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,2,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,2,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,3,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,1,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,6,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,2,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,2,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,4,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,4,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - Melbourne City,Paper cardboard recycled,Waste,3,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,5,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,5,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,5,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,7,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,7,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,7,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,5,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Child Care - North Melbourne,Paper cardboard recycled,Waste,6,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,10,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,13,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,18,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,22,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,19,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,19,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,23,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,19,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,18,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,20,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,23,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Community Centre - Southbank,Paper cardboard recycled,Waste,21,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,5,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,7,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,6,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,7,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,8,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,6,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,8,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,8,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,8,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,9,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,8,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Kensington,Paper cardboard recycled,Waste,18,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,6,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,3,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,2,kg,0,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,3,kg,0,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,7,kg,0,12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,05/01/2014 12:00:00 AM,05/31/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - North Melbourne,Paper cardboard recycled,Waste,4,kg,0,06/01/2014 12:00:00 AM,06/30/2014 12:00:00 AM,CoM,,
Community Services,Health Centre - Powlett Reserve,Paper cardboard recycled,Waste,1,kg,0,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,,
Community Services,Health Centre - Powlett Reserve,Paper cardboard recycled,Waste,1,kg,0,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,,
